,,,,,,,,,,Steps,Population,Births,Deaths,Marriages,Laborers,,,Migrants
42,369,0,2,1,156,24,93,79,,1170,397.7333333,72.2,43.06666667,23.53333333,106.9333333,39.66666667,95.16666667,99.8
42,369,0,2,1,158,24,93,77,,1176,397.9333333,72.46666667,43.13333333,23.8,106.9333333,39.4,95.4,99.93333333
42,371,1,1,0,160,26,91,76,,1182,398.0333333,72.73333333,43.3,23.93333333,107.0666667,39.33333333,95.46666667,99.9
42,370,0,0,0,158,25,92,79,,1188,398.3666667,73.26666667,43.43333333,23.96666667,107.2,39.36666667,95.5,99.9
42,370,0,0,0,159,27,92,78,,1194,398.1333333,73.4,43.8,24.06666667,106.8666667,39.26666667,95.33333333,100.0333333
42,370,0,1,1,160,24,93,76,,1200,397.9333333,73.53333333,44.13333333,24.06666667,106.7666667,39.36666667,95.2,100.0666667
42,369,0,2,0,156,25,90,79,,1206,397.9333333,73.86666667,44.36666667,24.1,106.9,39.43333333,95.2,100.1
42,371,0,0,0,161,26,92,76,,1212,397.9666667,74.23333333,44.66666667,24.2,106.6666667,39.36666667,95.16666667,100.2666667
42,368,0,3,0,158,26,91,76,,1218,397.9666667,74.5,44.93333333,24.3,106.7333333,39.43333333,95.2,100.2333333
42,371,0,0,1,160,24,93,77,,1224,397.9333333,74.73333333,45.1,24.33333333,106.8666667,39.46666667,95.23333333,100.4
42,371,0,0,1,160,25,93,77,,1230,398,74.96666667,45.26666667,24.4,107.1333333,39.56666667,95.23333333,100.3333333
42,370,0,1,0,158,25,92,78,,1236,397.8666667,75.16666667,45.6,24.46666667,107.3666667,39.53333333,95.23333333,100.5
42,368,0,3,0,154,25,91,80,,1242,397.8,75.43333333,45.93333333,24.66666667,105.0333333,39.53333333,95.3,100.4666667
42,369,0,2,0,156,25,91,79,,1248,397.8666667,75.73333333,46.13333333,24.76666667,105.1666667,39.56666667,95.33333333,100.4666667
42,370,0,1,1,161,24,92,75,,1254,397.8,75.9,46.3,24.8,105.6,39.56666667,95.23333333,100.5666667
42,370,0,1,1,159,25,93,77,,1260,397.9666667,76.3,46.5,24.9,105.7333333,39.56666667,95.2,100.5
48,371,1,0,0,159,25,92,78,,1266,397.9,76.53333333,46.8,25,106.2333333,39.53333333,95.2,100.4666667
48,370,0,1,1,160,24,93,76,,1272,397.9666667,76.86666667,47.03333333,25,106.3,39.56666667,95.13333333,100.6333333
48,370,0,1,0,158,25,92,78,,1278,397.9666667,77.2,47.36666667,25.13333333,106.3666667,39.43333333,95,100.8666667
